u,v,key,geohash,mesafe_km,highway,name,length
958703326,958703140,0,sxk90v,0.1690541457697516,living_street,Leventler Sokağı,59.14525757848652
959578411,959578412,0,sxk915,0.12333867287705211,residential,Muhtar Halit Kral Sokağı,55.56632405274253
959578412,966218498,0,sxk915,0.10332011170993437,residential,Muhtar Halit Kral Sokağı,57.54876291371741
959578412,959578411,0,sxk915,0.16020996519127728,residential,Muhtar Halit Kral Sokağı,55.56632405274253
959578412,2382917963,0,sxk915,0.18118975162471873,residential,Şehit Nusret Sokağı,66.42018705762511
959578414,959578415,0,sxk915,0.11710795288305544,residential,Muhtar Halit Kral Sokağı,43.576956099113694
959578414,966218498,0,sxk915,0.10332011170993437,residential,Muhtar Halit Kral Sokağı,18.85123653556625
959578415,959578414,0,sxk915,0.10392701134167193,residential,Muhtar Halit Kral Sokağı,43.576956099113694
959578415,959578484,0,sxk915,0.1592276851332406,residential,Kartopu Sokağı,43.91974488384882
959578415,959578505,0,sxk915,0.08514115797969496,residential,Kartopu Sokağı,78.35479391850178
959578420,966218563,0,sxk91h,0.12004190170277874,living_street,Hatboyu Çıkışı Sokağı,121.6755779279857
959578423,959578420,0,sxk91h,0.2742165950962219,living_street,Hatboyu Çıkışı Sokağı,118.3805875965445
959578426,959578423,0,sxk91h,0.2971673701117452,residential,Hüsreviye Sokağı,131.7084605441482
959578466,959578468,0,sxk915,0.2229788516891206,residential,Bilgi Sokağı,43.0896209379735
959578468,959578528,0,sxk915,0.2501743293311263,residential,Ömer Naci Sokağı,69.9203885804288
959578468,959578466,0,sxk915,0.2229788516891206,residential,Bilgi Sokağı,43.0896209379735
959578468,959578531,0,sxk915,0.2822221490617623,residential,Ömer Naci Sokağı,60.89089915263543
959578469,959578468,0,sxk915,0.26098607672846136,residential,Bilgi Sokağı,69.07855885361747
959578484,959578508,0,sxk915,0.2123307299193614,residential,Kartopu Sokağı,54.787334664653336
959578484,959578415,0,sxk915,0.11710795288305544,residential,Kartopu Sokağı,43.91974488384882
959578484,966218526,0,sxk915,0.2145616364396752,residential,Mor Sümbül Sokağı,161.31390396804343
959578491,2246164827,0,sxk915,0.28247375736555735,secondary,İstanbul Caddesi,86.39445559905354
959578503,966218511,0,sxk915,0.0896811481182798,residential,Küçük Yalı Sokağı,36.34691208136569
959578503,966218504,0,sxk915,0.14320925820149052,residential,Revnaklı Sokağı,55.23159034202179
959578505,966218499,0,sxk915,0.038694782844131206,residential,Banyolar Sokağı,56.89240691735763
959578505,966218566,0,sxk915,0.04333461159713489,residential,Kartopu Sokağı,59.00996494720628
959578505,959578415,0,sxk915,0.08514115797969496,residential,Kartopu Sokağı,78.35479391850178
959578508,959578484,0,sxk915,0.1592276851332406,residential,Kartopu Sokağı,54.787334664653336
959578527,959578525,0,sxk915,0.2856891905458705,residential,Ömer Naci Sokağı,68.69638191947512
959578528,959578527,0,sxk915,0.26045596955395445,residential,Ömer Naci Sokağı,69.87547873407263
959578528,959578414,0,sxk915,0.20606782812330737,residential,Hoca Hasan Sokağı,144.75236236974698
959578531,2382917965,0,sxk915,0.281306908254551,residential,Mabet Sokağı,6.446871133554636
959578537,959578528,0,sxk915,0.2501743293311263,residential,Hoca Hasan Sokağı,70.63909803602392
959578543,959578525,0,sxk915,0.2529672691372241,residential,Mor Menekşe Sokağı,39.240013353530216
959578565,966218523,0,sxk915,0.08573116373703152,residential,Şehit Nusret Sokağı,57.12251590301186
959578565,966218514,0,sxk915,0.11716796743699501,tertiary,İskele Caddesi,35.636172087924706
959578565,966218500,0,sxk915,0.03692658574124498,tertiary,İskele Caddesi,55.8955826264509
959578584,959578705,0,sxk90u,0.26869961825677907,secondary,Fişekhane Caddesi,269.2565163666869
959578607,968172766,0,sxk91j,0.11693649610330203,residential,Buhar Sokak,105.87258062909034
959578607,966218477,0,sxk91j,0.2582985478544106,tertiary,Yeni Caddesi,98.67613697448085
959578607,966218470,0,sxk91h,0.2855943586983677,residential,Buhar Sokak,119.50071440029929
959578607,966218476,0,sxk91j,0.2132410840368988,tertiary,Yeni Caddesi,84.41953146292357
959578608,966218411,0,sxk91h,0.2678952202530197,residential,Şanlı Asker Sokağı,33.007727998420904
959578608,966218451,0,sxk91h,0.20762216124754218,residential,Filiz Sokağı,75.68304332058332
959578608,966218470,0,sxk91h,0.2855943586983677,residential,Buhar Sokak,11.096337858320492
959578620,966218453,0,sxk91h,0.060767589112972815,residential,Kartaltepe Caddesi,70.39111110105723
959578620,13914561021,0,sxk91h,0.052059771361199665,residential,General Şükrü Kanatlı Caddesi,81.630881180046
959578620,959578630,0,sxk91h,0.07272799943691581,living_street,Kartaltepe Caddesi,48.295299815563894
959578630,959578620,0,sxk91h,0.039307675156365254,living_street,Kartaltepe Caddesi,48.295299815563894
959578631,966218453,0,sxk91h,0.060767589112972815,residential,Kartaltepe Caddesi,74.78456781368546
959578631,966218413,0,sxk91h,0.13894384285575206,residential,Behire Sokağı,27.087104912992018
959578637,2246164877,0,sxk90u,0.26222720467774313,living_street,Ray Sokağı,83.78079322483998
959578651,988336272,0,sxk90u,0.07626903742758237,residential,Gençler Caddesi,58.916845430707326
959578651,12205869468,0,sxk90u,0.17271320239073207,secondary,Behçet Kemal Çağlar Caddesi,177.12334646462028
959578651,988336292,0,sxk90u,0.048679106853739995,secondary,Behçet Kemal Çağlar Caddesi,106.19981787585013
959578664,959578671,0,sxk90u,0.28653996564323886,residential,,81.46956439595537
959578664,2382907921,0,sxk90u,0.2765597515853122,residential,,94.41598195608525
959578673,958703026,0,sxk90u,0.2549815801306995,tertiary,Zuhuratbaba Caddesi,9.357477407725344
