u,v,key,name,highway,length
958405736,958703203,0,Dr. Tevfik Sağlam,secondary,33.67422912100513
958405743,13891516134,0,Dr. Tevfik Sağlam,secondary,161.03786541851812
958405747,958405749,0,,secondary,8.323255890782896
958405749,958405417,0,,secondary,61.38577025425478
958405749,909194266,0,,secondary,23.40033702867286
958405771,958405403,0,,secondary,49.81464241276425
958405771,958405747,0,,secondary,26.743580040439607
958405820,2365290893,0,,secondary_link,8.296332907860686
958405820,958405531,0,İncirli Caddesi,secondary,55.40279797061093
958405889,13713396013,0,Aydın Yuva Sokağı,residential,99.29412322482645
958405889,958405891,0,İncirli Caddesi,secondary,65.03886210736579
958405891,958405893,0,İncirli Caddesi,secondary,61.57116515147021
958405891,958406214,0,Baharlı Bahçe Sokağı,residential,103.17096651697719
958405893,958406085,0,Bahçesaray Sokağı,residential,103.3311074695402
958405893,958405895,0,İncirli Caddesi,secondary,63.64068043164693
958405895,909194314,0,İncirli Caddesi,secondary,5.649333672792094
958405938,958406383,0,Sayfiye Sokağı,residential,66.04094448234999
958405938,958405432,0,Alpay İzer Sokağı,residential,72.05171527690293
958405938,11579057570,0,Sayfiye Sokağı,residential,23.10897642471043
958405938,909194316,0,Alpay İzer Sokağı,residential,96.55237732137583
958406085,958406214,0,Sayfiye Sokağı,residential,62.96900192038005
958406085,363910206,0,Bahçesaray Sokağı,residential,58.51673790696607
958406085,958405893,0,Bahçesaray Sokağı,residential,103.3311074695402
958406132,4104770089,0,Pembe Ay Sokağı,residential,48.622629696333895
958406139,958405511,0,Aydın Yuva Sokağı,residential,71.88551322906316
958406139,958406132,0,Pembe Ay Sokağı,residential,65.36113028595709
958406146,958405486,0,Ahu Sokağı,tertiary,70.33065114285618
958406146,958406139,0,Pembe Ay Sokağı,residential,100.35360552578075
958406151,958405095,0,Necmettin Sadak Sokağı,living_street,66.78548078830511
958406214,958405184,0,Sayfiye Sokağı,residential,63.7420086693929
958406214,958406132,0,Baharlı Bahçe Sokağı,residential,75.45021742833828
958406328,958405432,0,Pembe Ay Sokağı,residential,67.81546954443543
958406328,958406383,0,Limon Çiçeği Sokağı,residential,74.67283878997274
958406383,958406085,0,Sayfiye Sokağı,residential,65.01466571611756
958406383,958405895,0,Limon Çiçeği Sokağı,residential,102.90520649042357
958702676,968172560,0,,tertiary,69.24249204020636
958702676,958405065,0,Tez Sokağı,tertiary,105.58991641566303
958702676,958702760,0,Tez Sokağı,tertiary,41.463470179009676
958702679,968172096,0,Terakki Caddesi,tertiary,19.943612551544966
958702679,968172560,0,,tertiary,63.504146561406415
958702679,958405203,0,Yunus Nadi Sokağı,tertiary,56.213060982402226
958702681,958702684,0,,residential,116.43806759991207
958702684,958405070,0,,residential,14.785588415622563
958702684,958405065,0,,residential,160.3485833336175
958702684,958702681,0,,residential,116.43806759991207
958702696,958405470,0,,residential,87.00096765187982
958702719,958703267,0,Rüzgarlı Bahçe Sokağı,tertiary,21.42315100670084
958702719,958702730,0,Mahmut Moralı Sokağı,living_street,189.96573699302965
958702730,958703292,0,Zuhuratbaba Caddesi,tertiary,17.539440203510207
958702735,958702736,0,Faik Köksal Sokağı,residential,93.23040679786884
958702735,958405057,0,Yunus Nadi Sokağı,tertiary,17.928744676262802
958702735,958405083,0,Yunus Nadi Sokağı,tertiary,48.551891199695696
958702736,958702735,0,Faik Köksal Sokağı,residential,93.23040679786884
958702736,958702740,0,Faik Köksal Sokağı,residential,139.1974970796238
958702736,958702740,1,Karacaoğlan Sokağı,living_street,177.358308102895
958702740,958702741,0,Faik Köksal Sokağı,residential,62.846912320849704
958702740,958702736,0,Faik Köksal Sokağı,residential,139.19749707962376
958702741,2365290889,0,İncirli Caddesi,secondary,56.097071775564665
958702741,958702740,0,Faik Köksal Sokağı,residential,62.846912320849704
958702747,968172096,0,Terakki Caddesi,tertiary,73.64655670071002
958702747,968172610,0,Terakki Caddesi,tertiary,37.89741844422353
958702747,958702736,0,Karacaoğlan Sokağı,living_street,278.0601833430328
958702760,968172558,0,,residential,41.21855397639951
958702760,968158137,0,Tez Sokağı,tertiary,19.870716802730996
958702760,958702676,0,Tez Sokağı,tertiary,41.463470179009676
958702782,958703502,0,Dr. Salih Zeki Sokağı,residential,117.26220664109562
958702782,958702817,0,,residential,38.31471785711364
958702782,958702789,0,Dr. Salih Zeki Sokağı,residential,122.00402800799708
958702789,958703014,0,Dr. Salih Zeki Sokağı,residential,45.16054522864788
958702789,958702782,0,Dr. Salih Zeki Sokağı,residential,122.0040280079971
958702789,958702796,0,Sağlık Sokağı,residential,135.57137782764215
958702796,958702871,0,Asiller Sokağı,living_street,71.44023230511121
958702796,958702789,0,Sağlık Sokağı,residential,135.57137782764215
958702798,4621154616,0,Santral Çıkmazı Sokağı,living_street,168.51471641582998
958702817,958702782,0,,residential,38.31471785711364
958702831,958703326,0,Yüce Tarla Caddesi,secondary,35.135433941697755
958702844,958702847,0,Bakır Sokağı,living_street,74.29472546288784
958702844,958702852,0,Gülbahçe Sokağı,living_street,112.08991081191809
958702844,4621154613,0,Gülbahçe Sokağı,living_street,153.41873392712964
958702847,958702848,0,Bakır Sokağı,living_street,99.02627259018345
958702847,958702844,0,Bakır Sokağı,living_street,74.29472546288784
958702847,958703163,0,Zümrüt Evler Sokağı,living_street,128.5574911315497
958702848,958702847,0,Bakır Sokağı,living_street,99.02627259018345
958702848,2382907933,0,Vankulu Sokağı,residential,155.48803620922175
958702852,958703163,0,Yüce Tarla Caddesi,secondary,72.85673928533599
958702852,958702844,0,Gülbahçe Sokağı,living_street,112.08991081191809
958702871,958703006,0,Yeni İncirli Yolu Sokağı,residential,51.02228401674115
958702878,2382907933,0,İncirli Caddesi,secondary,61.65651440027795
958702878,958702796,0,Asiller Sokağı,living_street,175.3478003982372
958702891,958703154,0,Demirkapı Caddesi,tertiary,87.20241209859391
958702891,958702893,0,Vankulu Sokağı,residential,69.4810657073257
958702891,2382891996,0,Demirkapı Caddesi,tertiary,309.57567607369674
958702893,958703044,0,Akatlar Sokağı,residential,6.1844395814136295
958702893,958702891,0,Vankulu Sokağı,residential,69.4810657073257
958702893,958703157,0,Akatlar Sokağı,residential,95.84111437281362
958702899,958702900,0,Tamburacı Osman Sokağı,living_street,65.57748003075814
958702899,958703288,0,Yüce Tarla Caddesi,secondary,66.64087625710337
958702900,958702990,0,Zümrüt Bahçe Sokağı,residential,67.51221442867619
958702900,958702899,0,Tamburacı Osman Sokağı,living_street,65.57748003075814
958702911,958702912,0,Resneli Sokağı,living_street,70.51980249624398
958702911,958702982,0,Zümrüt Bahçe Sokağı,residential,36.5411841535616
958702912,958702994,0,Yüce Tarla Caddesi,secondary,66.60769632441482
958702915,958702912,0,Yüce Tarla Caddesi,secondary,8.188883854061865
958702915,958702918,0,Muhtar Sokağı,living_street,92.57461371365252
958702918,958702915,0,Muhtar Sokağı,living_street,92.57461371365252
958702918,958702871,0,Yeni İncirli Yolu Sokağı,residential,92.09943591161331
958702924,958703219,0,Yüce Tarla Caddesi,secondary,73.39327313665672
958702924,958702928,0,Hür Sokağı,living_street,185.36191815597584
958702928,958702741,0,İncirli Caddesi,secondary,42.62514976470174
958702955,958702956,0,Sarsılmaz Sokağı,living_street,59.6520820102257
958702955,958703318,0,Yüce Tarla Caddesi,secondary,118.26590261585767
958702956,958702957,0,Sarsılmaz Sokağı,living_street,54.33462798424259
958702956,958703121,0,Türkiş Caddesi,residential,112.59718210499238
958702957,958702970,0,Sarsılmaz Sokağı,living_street,54.6933615837847
958702957,958703121,0,Hüdaverdi Sokağı,residential,95.80831225311476
958702957,958703186,0,Hüdaverdi Sokağı,residential,126.53399919556747
958702970,958703226,0,Akatlar Sokağı,residential,129.0965630543093
958702970,958702973,0,Sarsılmaz Sokağı,living_street,59.32290928348749
958702970,958703118,0,Akatlar Sokağı,residential,126.06299833085757
958702973,958405352,0,Karabal Caddesi,tertiary,100.131932100435
958702973,958703228,0,Karabal Caddesi,tertiary,132.82541794943594
958702982,958702983,0,Ünaldı Sokağı,living_street,79.1431620493252
958702982,958703044,0,Zümrüt Bahçe Sokağı,residential,111.84857937304136
958702983,958702915,0,Yüce Tarla Caddesi,secondary,24.974222549058293
958702983,958702982,0,Ünaldı Sokağı,living_street,79.1431620493252
958702990,958702994,0,Kubilay Sokağı,living_street,65.01006119024908
958702990,958702911,0,Zümrüt Bahçe Sokağı,residential,61.72355544188045
958702994,958702999,0,Kubilay Sokağı,living_street,88.2274108353898
958702994,958702990,0,Kubilay Sokağı,living_street,65.01006119024908
958702994,958702899,0,Yüce Tarla Caddesi,secondary,66.83013821340475
958702999,958702994,0,Kubilay Sokağı,living_street,88.2274108353898
958702999,958703014,0,Yeni İncirli Yolu Sokağı,residential,48.18256037335877
958703005,12246600527,0,Yüce Tarla Caddesi,secondary,73.05266101183997
958703005,958703006,0,Yeni İncirli Sokağı,living_street,78.73647803829965
958703006,958702848,0,Vankulu Sokağı,residential,102.77615767083377
958703006,958703005,0,Yeni İncirli Sokağı,living_street,78.73647803829965
958703014,958702789,0,Dr. Salih Zeki Sokağı,residential,45.16054522864788
958703014,958702918,0,Yeni İncirli Yolu Sokağı,residential,30.23378022767383
958703026,2245070454,0,Yeni İncirli Yolu Sokağı,residential,73.32352970299017
958703026,958702730,0,Zuhuratbaba Caddesi,tertiary,147.24335578387024
958703042,12246600527,0,Vankulu Sokağı,residential,52.95785757689149
958703042,958703142,0,Türkiş Caddesi,residential,106.54825354906544
958703044,958702893,0,Akatlar Sokağı,residential,6.1844395814136295
958703044,958703042,0,Vankulu Sokağı,residential,53.86078036885246
958703113,958405392,0,Karabal Caddesi,tertiary,86.8825128277513
958703113,958703118,0,Hüdaverdi Çarşısı Sokağı,residential,92.12601572685755
958703118,958703121,0,Hüdaverdi Çarşısı Sokağı,residential,62.536928337473014
958703118,958702970,0,Akatlar Sokağı,residential,126.06299833085757
958703118,958703113,0,Hüdaverdi Çarşısı Sokağı,residential,92.12601572685753
958703121,958703200,0,Hüdaverdi Sokağı,residential,71.37715508902559
958703121,958703118,0,Hüdaverdi Çarşısı Sokağı,residential,62.536928337473014
958703121,958702957,0,Hüdaverdi Sokağı,residential,95.80831225311476
958703134,958703318,0,Yavuzevler Mektep Sokağı,living_street,60.85586492955821
958703134,958702956,0,Türkiş Caddesi,residential,113.55320577771997
958703136,958703134,0,Türkiş Caddesi,residential,12.117482082295211
958703137,958703136,0,Türkiş Caddesi,residential,120.79381472058188
958703137,958703182,0,Çamlık Çeşme Sokağı,living_street,57.66694285506416
958703140,958703137,0,Türkiş Caddesi,residential,103.64878604704917
958703140,958703176,0,Leventler Sokağı,living_street,65.65098216306022
