osmid,lat,lon
968172551,40.9900264,28.8779504
968172558,40.9904588,28.8776184
968172559,40.9904208,28.8772249
968172560,40.9905658,28.8770807
968172593,40.9902823,28.8800398
968172594,40.9897562,28.8793508
968172602,40.9888885,28.8774184
968172610,40.9890643,28.8761909
968172618,40.9891374,28.8804221
968172628,40.9886091,28.8782391
968172629,40.9886136,28.8785459
968172630,40.9886091,28.8789427
968172639,40.989259,28.877354
968172652,40.9870522,28.8792745
968172653,40.9874352,28.879358
968172656,40.9890041,28.878961
968172657,40.9877567,28.8789526
968172670,40.9890205,28.8785988
968172673,40.9889862,28.879307
968172676,40.988953,28.8802096
968172678,40.987724,28.8793087
968172683,40.9866422,28.8795439
968172684,40.9858588,28.8797948
968172687,40.9879338,28.8760946
968172689,40.9879187,28.8766566
968172699,40.9875372,28.8803059
968172702,40.9877567,28.8790921
968172703,40.9878045,28.8784374
968172706,40.9874526,28.8776728
968172713,40.9874663,28.8790294
968172726,40.9885703,28.8751447
968172730,40.9885124,28.87611
968172742,40.9887042,28.8744751
968172754,40.9886471,28.8737171
968172763,40.9862255,28.8760098
968172766,40.9862972,28.8769593
968172769,40.9864279,28.8779819
968172778,40.9865644,28.878982
968172782,40.9867363,28.8800148
968172791,40.9870585,28.8803631
968172800,40.9857318,28.8791131
968172815,40.9864966,28.8747101
968172816,40.9876476,28.8746608
968172818,40.9880153,28.8746316
968172827,40.988706,28.8745764
968172837,40.9875774,28.8760592
968172847,40.9880041,28.8740857
968172851,40.9889391,28.8761696
968172860,40.9887419,28.8751135
968172870,40.9880958,28.8761053
968172892,40.9853836,28.8730647
968172894,40.9853691,28.874072
968172898,40.986012,28.8728741
968172900,40.9860232,28.8740864
968172909,40.9856143,28.8740866
968172913,40.9856096,28.8749141
968172920,40.9881312,28.8733539
968172929,40.9869191,28.8737244
968172943,40.9865098,28.874116
968172945,40.986487,28.8749149
968172947,40.9864369,28.8760221
968172979,40.9886608,28.8740245
968172984,40.9849956,28.8740592
968172990,40.984832,28.8748973
968172991,40.9849207,28.8759836
968173010,40.9825806,28.8736923
968173029,40.9862589,28.8805185
968173048,40.9836559,28.8725173
968173056,40.9843638,28.8723675
969160829,40.9809079,28.8856777
969160869,40.9809576,28.884998
974171746,41.0051151,28.8952742
988329369,40.9786854,28.8637873
988329371,40.9788201,28.8642128
988329375,40.9788793,28.8643471
988329379,40.9790269,28.8647133
988329397,40.9792386,28.8658962
988329408,40.9783851,28.8682351
988329420,40.9775297,28.8675575
988329424,40.9772559,28.8676256
988335970,40.9810439,28.8603807
988336052,40.9807138,28.8637314
988336083,40.9822338,28.8619025
988336105,40.9811306,28.860457
988336233,40.9805294,28.8626758
988336258,40.9816545,28.8594947
988336260,40.9826509,28.8669638
988336265,40.9834887,28.8654243
988336272,40.9810124,28.8664117
988336292,40.9822378,28.8659982
988336367,40.9842543,28.862212
988336375,40.983043,28.8650825
988336433,40.9831626,28.8619197
988336506,40.9783811,28.8603116
988336511,40.9796449,28.8604396
988336523,40.9792614,28.8633285
988336540,40.9779076,28.8611615
988336541,40.9780038,28.8596399
988336543,40.9777956,28.8636136
988336549,40.9786834,28.8614922
988336556,40.9795989,28.8615621
988336609,40.9777309,28.8622504
988336634,40.9773539,28.8593598
988336662,40.9766098,28.8603946
988336677,40.9775511,28.8578955
988336687,40.977674,28.8579168
988336693,40.9777298,28.8578143
988336696,40.9776828,28.8576724
988336704,40.9775292,28.8577244
